time,code,open,close,high,low,volume,money
2017-07-10,FU8888.XSGE,3775.666,3771.0,3775.666,3755.333,8.0,1492100.0
2017-07-10,L8888.XDCE,8979.269,8852.273,9075.235,8837.002,624742.0,27987000000.0
2017-07-10,V8888.XDCE,6521.33,6525.037,6582.33,6481.04,198866.0,6539263300.0
2017-07-10,CS8888.XDCE,2030.986,2012.714,2040.001,2009.01,377622.0,7663525000.0
2017-07-10,BU8888.XSGE,2386.443,2388.268,2410.728,2358.286,803132.0,19118583080.0
2017-07-10,FB8888.XDCE,74.517,76.283,78.383,74.517,86.0,3234300.0
2017-07-10,TF8888.CCFX,97.992,97.901,98.061,97.896,11507.0,11272528800.0
2017-07-10,T8888.CCFX,95.149,95.088,95.294,95.044,40484.0,38520571400.0
2017-07-10,MA8888.XZCE,2480.494,2453.053,2491.945,2445.596,988468.0,24361031800.0
2017-07-10,WH8888.XZCE,2607.213,2600.267,2610.66,2599.286,1142.0,59512500.0
2017-07-10,A8888.XDCE,3832.766,3880.549,3905.43,3824.662,336784.0,13032131300.0
2017-07-10,HC8888.XSGE,3419.58,3434.911,3471.683,3405.266,884086.0,30457247420.0
2017-07-10,SF8888.XZCE,5566.105,5558.979,5591.717,5481.17,17756.0,497087400.0
2017-07-10,CU8888.XSGE,47091.559,46962.116,47209.778,46920.487,294256.0,68947180600.0
2017-07-10,WR8888.XSGE,2882.582,2882.582,2882.582,2882.582,0.0,0.0
2017-07-10,TA8888.XZCE,4963.987,4956.979,4994.809,4925.862,969978.0,24065569700.0
2017-07-10,AU8888.XSGE,272.333,268.888,272.431,268.097,243956.0,65822791900.0
2017-07-10,SR8888.XZCE,6198.916,6252.875,6277.061,6176.438,674434.0,41932882900.0
2017-07-10,J8888.XDCE,1791.708,1818.121,1824.505,1780.305,253918.0,45978078500.0
2017-07-10,SM8888.XZCE,6553.911,6539.299,6614.522,6495.329,96454.0,3163702600.0
2017-07-10,PM8888.XZCE,2406.0,2406.0,2406.0,2406.0,0.0,0.0
2017-07-10,P8888.XDCE,5306.278,5386.648,5412.514,5298.386,538914.0,29140099600.0
2017-07-10,I8888.XDCE,477.584,476.402,482.715,471.733,2573356.0,123231360500.0
2017-07-10,PP8888.XDCE,8110.996,7998.767,8144.225,7971.518,486350.0,19574467000.0
2017-07-10,RI8888.XZCE,2741.045,2731.5,2741.045,2729.591,28.0,1528400.0
2017-07-10,AL8888.XSGE,14178.987,14152.746,14229.683,14124.484,215892.0,15314615900.0
2017-07-10,JR8888.XZCE,3234.834,3234.834,3234.834,3234.834,0.0,0.0
2017-07-10,ZC8888.XZCE,587.855,588.336,590.798,586.16,151524.0,8933585000.0
2017-07-10,NI8888.XSGE,74583.891,73816.301,74805.291,73609.161,402404.0,29821236340.0
2017-07-10,IC8888.CCFX,6141.609,6122.871,6169.506,6103.744,12384.0,15267824120.0
2017-07-10,M8888.XDCE,2850.822,2929.629,2953.356,2837.037,2811158.0,81425438600.0
2017-07-10,LR8888.XZCE,2892.167,2892.167,2892.167,2892.167,0.0,0.0
2017-07-10,ZN8888.XSGE,22884.623,22670.509,23128.361,22646.186,776472.0,89078333800.0
2017-07-10,B8888.XDCE,3279.111,3331.524,3355.258,3279.111,68.0,2253600.0
2017-07-10,IH8888.CCFX,2512.999,2529.922,2536.805,2510.554,9064.0,6883253460.0
2017-07-10,C8888.XDCE,1701.33,1689.317,1711.74,1688.614,945408.0,16032549000.0
2017-07-10,FG8888.XZCE,1356.128,1348.131,1370.678,1337.564,309738.0,8424923400.0
2017-07-10,PB8888.XSGE,17720.23,17533.938,17843.845,17508.054,70264.0,6223543700.0
2017-07-10,JD8888.XDCE,3877.726,3829.382,3928.52,3814.472,633024.0,24249810500.0
2017-07-10,RB8888.XSGE,3394.934,3404.73,3442.028,3369.274,7406620.0,253069350460.0
2017-07-10,IF8888.CCFX,3612.101,3620.936,3637.048,3610.536,14799.0,16131159540.0
2017-07-10,BB8888.XDCE,114.475,114.475,114.475,114.475,0.0,0.0
2017-07-10,RU8888.XSGE,13176.127,13040.193,13293.333,12878.285,824908.0,107605621300.0
2017-07-10,RM8888.XZCE,2320.036,2371.807,2389.565,2293.61,1162664.0,27471560000.0
2017-07-10,Y8888.XDCE,6054.414,6168.757,6184.752,6049.727,635912.0,38891118200.0
2017-07-10,OI8888.XZCE,6537.73,6666.178,6687.597,6535.897,309798.0,20410720900.0
2017-07-10,RS8888.XZCE,5338.0,5270.0,5338.0,5264.0,18.0,950100.0
2017-07-10,CF8888.XZCE,14997.033,15083.1,15195.09,14927.917,226522.0,17121311700.0
2017-07-10,SN8888.XSGE,144331.85,143462.352,144863.991,142888.718,16930.0,2432821620.0
2017-07-10,JM8888.XDCE,1121.174,1123.167,1139.882,1108.781,261340.0,17658084100.0
2017-07-10,AG8888.XSGE,3851.165,3671.162,3858.072,3671.188,1291306.0,72763460490.0
2017-07-11,HC8888.XSGE,3430.201,3548.552,3582.908,3419.843,869680.0,30614587980.0
2017-07-11,L8888.XDCE,8906.761,8993.052,9011.761,8852.256,599852.0,26830434300.0
